Company Name,Symbol,,Symbol,Symbol,US,Exercise,,,,,,Symbol,,Wts,1 Month,,,Days ,Fair,,,
Click on Company for News,CEO.ca ,Warrant,Yahoo,Canadian,Warrant,Price,,  Price  of  ,Expiration,Intrinsic,,Stockhouse,Time,Per,Historic,Warrant,Accel.,Until,Market,Comments,,
and Charts,BullBoard,CUSIP NO,Finace,Insider,Symbol,Cdn$,Currency,Common,Date,Value,Leverage,Bullboard,Value,Share,Volatility,Price,Clause,Expiry,Value,,,Discount
Mydecine Inn Grp Inc,MYCO.WT.NE,62848R 12 2,MYCOF,MYCO.NE,,35,CAD,0.14,12-Feb-24,-34.86,0.56,MYCO.WT.NE,$0.00,50,55.00%,0.005,,50,0,Very Overvalued,,0
Jasper Commerce Inc,JPIM.WT.VN,47157P 11 4,,JPIM.VN,,0.7,CAD,0.005,16-Feb-24,-0.7,1,JPIM.WT.VN,$0.00,1,778.10%,0.005,,54,0,Very Overvalued,,0
Canopy Growth Corp,WEED.WT.A.TO,138035 12 6,,WEED.TO,,34.4,CAD,6.81,19-Feb-24,-27.59,681,WEED.WT.A.TO,$0.00,1,149.60%,0.01,,57,0.01,Fair Market Value,,1
Halo Collective,HALO.WT.C.NE,40638K 13 5,,HALO.NE,,0.23,CAD,0.02,19-Feb-24,-0.21,0.04,HALO.WT.C.NE,$0.00,100,201.40%,0.005,,57,0,Very Overvalued,,0
Star Royalties,STRR.WT.VN,855169 11 6,,STRR.VN,,1,CAD,0.335,19-Feb-24,-0.67,67,STRR-WT.VN,$0.00,1,190.40%,0.005,,57,0.01,Bargain,,2
Medipharm Labs Corp,LABS.WT.B.TO,58504D 14 2,,LABS.TO,,0.89,CAD,0.06,26-Feb-24,-0.83,12,LABS.WT.B.TO,$0.00,1,77.40%,0.005,,64,0,Very Overvalued,,0
Rubicon Organics Inc,ROMJ.WT.VN,78112W 14 2,ROMJF,ROMJ.VN,,5.3,CAD,0.42,26-Feb-24,-4.88,84,ROMJ.WT.VN,$0.00,1,86.10%,0.005,6.90/20 days,64,0,Very Overvalued,,0
Source Rock Royalties Ltd,SRR.WT.VN,83616J 11 8,,SRR.VN,,1.25,CAD,0.85,01-Mar-24,-0.4,170,SRR.WT.VN,$0.00,1,33.10%,0.005,,69,0,Very Overvalued,,0
Tetra Bio-Pharma Inc,TBP.WT.C.TO,88166Y 16 7,TBPMF ,TBP.TO,,0.28,CAD,0.025,02-Mar-24,-0.26,2.5,TBP.WT.C.TO,$0.00,1,194.00%,0.01,,70,0,Very Overvalued,,0
Deveron Corp,FARM.WT.VN,25162L 12 0,,FARM.VN,,0.9,CAD,0.18,03-Mar-24,-0.72,7.2,FARM.WT.VN,$0.00,1,156.10%,0.025,,71,0,Very Overvalued,,0
